date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:42:24	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2268c9de78-239b%22	https://themewagon.github.io/robots.txt		(from )
10:42:25	20369/20369	---M-Z	200	added ('OK')	text/html	etag:W/%22639ef030-4f91%22	https://themewagon.github.io/soccer/	C:/Users/risva/OneDrive/Desktop/navas/floor%20managing%20website/themewagon.github.io/soccer/index.html	(from )
10:42:25	79820/79820	---M-Z	200	added ('OK')	text/css	etag:W/%22639ef030-137cc%22	https://themewagon.github.io/soccer/fonts/icomoon/style.css	C:/Users/risva/OneDrive/Desktop/navas/floor%20managing%20website/themewagon.github.io/soccer/fonts/icomoon/style.css	(from https://themewagon.github.io/soccer/)
10:42:26	196973/196973	---M-Z	200	added ('OK')	text/css	etag:W/%22639ef02f-3016d%22	https://themewagon.github.io/soccer/css/bootstrap/bootstrap.css	C:/Users/risva/OneDrive/Desktop/navas/floor%20managing%20website/themewagon.github.io/soccer/css/bootstrap/bootstrap.css	(from https://themewagon.github.io/soccer/)
10:42:26	21738/21738	---M-Z	200	added ('OK')	text/css	etag:W/%22639ef02f-54ea%22	https://themewagon.github.io/soccer/css/jquery-ui.css	C:/Users/risva/OneDrive/Desktop/navas/floor%20managing%20website/themewagon.github.io/soccer/css/jquery-ui.css	(from https://themewagon.github.io/soccer/)
10:42:26	2936/2936	---M-Z	200	added ('OK')	text/css	etag:W/%22639ef02f-b78%22	https://themewagon.github.io/soccer/css/owl.carousel.min.css	C:/Users/risva/OneDrive/Desktop/navas/floor%20managing%20website/themewagon.github.io/soccer/css/owl.carousel.min.css	(from https://themewagon.github.io/soccer/)
10:42:27	965/965	---M-Z	200	added ('OK')	text/css	etag:W/%22639ef02f-3c5%22	https://themewagon.github.io/soccer/css/owl.theme.default.min.css	C:/Users/risva/OneDrive/Desktop/navas/floor%20managing%20website/themewagon.github.io/soccer/css/owl.theme.default.min.css	(from https://themewagon.github.io/soccer/)
10:42:27	12795/12795	---M-Z	200	added ('OK')	text/css	etag:W/%22639ef02f-31fb%22	https://themewagon.github.io/soccer/css/jquery.fancybox.min.css	C:/Users/risva/OneDrive/Desktop/navas/floor%20managing%20website/themewagon.github.io/soccer/css/jquery.fancybox.min.css	(from https://themewagon.github.io/soccer/)
10:42:28	17144/17144	---M-Z	200	added ('OK')	text/css	etag:W/%22639ef02f-42f8%22	https://themewagon.github.io/soccer/css/bootstrap-datepicker.css	C:/Users/risva/OneDrive/Desktop/navas/floor%20managing%20website/themewagon.github.io/soccer/css/bootstrap-datepicker.css	(from https://themewagon.github.io/soccer/)
10:42:28	1366/1366	---M-Z	200	added ('OK')	text/css	etag:W/%22639ef02f-556%22	https://themewagon.github.io/soccer/fonts/flaticon/font/flaticon.css	C:/Users/risva/OneDrive/Desktop/navas/floor%20managing%20website/themewagon.github.io/soccer/fonts/flaticon/font/flaticon.css	(from https://themewagon.github.io/soccer/)
10:42:28	25983/25983	---M-Z	200	added ('OK')	text/css	etag:W/%22639ef02f-657f%22	https://themewagon.github.io/soccer/css/aos.css	C:/Users/risva/OneDrive/Desktop/navas/floor%20managing%20website/themewagon.github.io/soccer/css/aos.css	(from https://themewagon.github.io/soccer/)
10:42:29	31995/31995	---M-Z	200	added ('OK')	text/css	etag:W/%22639ef02f-7cfb%22	https://themewagon.github.io/soccer/css/style.css	C:/Users/risva/OneDrive/Desktop/navas/floor%20managing%20website/themewagon.github.io/soccer/css/style.css	(from https://themewagon.github.io/soccer/)
10:42:29	20369/20369	---M-Z	200	added ('OK')	text/html	etag:W/%22639ef030-4f91%22	https://themewagon.github.io/soccer/index.html	C:/Users/risva/OneDrive/Desktop/navas/floor%20managing%20website/themewagon.github.io/soccer/index-2.html	(from https://themewagon.github.io/soccer/)
10:42:30	2045/2045	---M--	200	added ('OK')	image/png	etag:%22639ef030-7fd%22	https://themewagon.github.io/soccer/images/logo.png	C:/Users/risva/OneDrive/Desktop/navas/floor%20managing%20website/themewagon.github.io/soccer/images/logo.png	(from https://themewagon.github.io/soccer/)
10:42:30	20008/20008	---M-Z	200	added ('OK')	text/html	etag:W/%22639ef030-4e28%22	https://themewagon.github.io/soccer/matches.html	C:/Users/risva/OneDrive/Desktop/navas/floor%20managing%20website/themewagon.github.io/soccer/matches.html	(from https://themewagon.github.io/soccer/)
10:42:30	11966/11966	---M-Z	200	added ('OK')	text/html	etag:W/%22639ef030-2ebe%22	https://themewagon.github.io/soccer/players.html	C:/Users/risva/OneDrive/Desktop/navas/floor%20managing%20website/themewagon.github.io/soccer/players.html	(from https://themewagon.github.io/soccer/)
10:42:31	10630/10630	---M-Z	200	added ('OK')	text/html	etag:W/%22639ef02f-2986%22	https://themewagon.github.io/soccer/blog.html	C:/Users/risva/OneDrive/Desktop/navas/floor%20managing%20website/themewagon.github.io/soccer/blog.html	(from https://themewagon.github.io/soccer/)
10:42:31	7873/7873	---M-Z	200	added ('OK')	text/html	etag:W/%22639ef02f-1ec1%22	https://themewagon.github.io/soccer/contact.html	C:/Users/risva/OneDrive/Desktop/navas/floor%20managing%20website/themewagon.github.io/soccer/contact.html	(from https://themewagon.github.io/soccer/)
